Experiment,ParameterValue,LabourDisutilityScaleChi,SteadyStateEmployment,TargetEmployment,AbsoluteError
sigma,1,7.88272359635098,0.333333333333333,0.333333333333333,0
sigma,2,10.2523168825355,0.333333333333333,0.333333333333333,0
sigma,5,22.5558495268131,0.333333333333333,0.333333333333333,0
sigma,10,83.9436407835224,0.333333333333333,0.333333333333333,0
varphi,0.5,5.91917791194922,0.333333333333333,0.333333333333333,0
varphi,1,10.2523168825355,0.333333333333333,0.333333333333333,0
varphi,2,30.7569506476065,0.333333333333333,0.333333333333333,0
varphi,5,830.437667485376,0.333333333333333,0.333333333333333,0
