Row,y,c,n,k,invest,w,z,phi_t
y,1,0.854326989957748,0.765604342206062,0.320331117743874,0.995512185800065,0.862689959074562,0.956801634115866,-0.288005966834938
c,0.854326989957748,1,0.447249163802765,0.737203897034274,0.801308534218167,0.899614545788166,0.851794234090919,-0.0647344143159708
n,0.765604342206062,0.447249163802765,1,0.0517271894878076,0.799827536810233,0.335135097508177,0.563107971614454,-0.810106827752034
k,0.320331117743874,0.737203897034274,0.0517271894878075,1,0.234492890819274,0.42848004284343,0.275074821670332,-0.0658825566394416
invest,0.995512185800065,0.801308534218167,0.799827536810233,0.234492890819274,1,0.829213049560921,0.946249096147998,-0.31972759805695
w,0.862689959074562,0.899614545788166,0.335135097508177,0.42848004284343,0.829213049560921,1,0.958613784031975,0.215054811544706
z,0.956801634115866,0.851794234090919,0.563107971614454,0.275074821670332,0.946249096147998,0.958613784031975,1,7.18622026657794e-19
phi_t,-0.288005966834938,-0.0647344143159708,-0.810106827752034,-0.0658825566394416,-0.31972759805695,0.215054811544706,7.18622026657794e-19,1
