Parameter,ParameterValue,Variable,Shock,ImpactPercent,PeakPercent,PeakQuarter,HalfLifeAfterPeak,CumulativeResponse20Q,CumulativeResponse40Q
rho_g,0,y,eps_g,0.00822466290917511,0.00822466290917511,0,1,-0.0187249605631081,-0.0320353989830323
rho_g,0,c,eps_g,-0.00816328482776685,-0.00816328482776685,0,18,-0.115654306839852,-0.168744199938275
rho_g,0,n,eps_g,0.0122756162823423,0.0122756162823423,0,4,0.106291826558258,0.152726500446732
rho_g,0,invest,eps_g,-0.796318001166219,-0.796318001166219,0,1,-0.652599840897983,-0.58161733815385
rho_g,0,w,eps_g,-0.00405095337318029,-0.00883584284577799,1,18,-0.125016787121413,-0.184761899429819
rho_g,0,g,eps_g,1,1,0,1,1,1
rho_g,0.5,y,eps_g,0.015698901774587,0.015698901774587,0,1,-0.0172345287871058,-0.0432280696874422
rho_g,0.5,c,eps_g,-0.0155817457911933,-0.0155817457911933,0,19,-0.225137818958931,-0.328815567909024
rho_g,0.5,n,eps_g,0.0234311966784917,0.0234311966784917,0,6,0.216520554565403,0.307201533065316
rho_g,0.5,invest,eps_g,-0.746685587889506,-0.746685587889506,0,1,-1.23402122908696,-1.09540297332751
rho_g,0.5,w,eps_g,-0.00773229490390603,-0.0147152113520121,4,19,-0.233755083352494,-0.350429602752711
rho_g,0.5,g,eps_g,1,1,0,1,1.99999809265137,1.99999999999818
rho_g,0.9,y,eps_g,0.0575067010468396,0.0575067010468396,0,6,0.404173822120453,0.363631818854261
rho_g,0.9,c,eps_g,-0.0570775465614126,-0.0570775465614126,0,24,-0.904144277299301,-1.37176435916414
rho_g,0.9,n,eps_g,0.0858308970848265,0.0858308970848265,0,14,1.10623118835955,1.55358026859131
rho_g,0.9,invest,eps_g,-0.469062406581622,-0.469062406581622,0,6,-3.58185119843164,-3.53907060288876
rho_g,0.9,w,eps_g,-0.0283241960379987,-0.0376630795952848,9,28,-0.702057366239117,-1.18994844973705
rho_g,0.9,g,eps_g,1,1,0,7,8.78423345409434,9.85219117058571
rho_g,0.98,y,eps_g,0.123040749762153,0.123040749762153,0,34,2.03359219941977,3.37762157159827
rho_g,0.98,c,eps_g,-0.122122535211688,-0.122122535211688,0,38,-2.07468305723488,-3.51405465847304
rho_g,0.98,n,eps_g,0.183642910092763,0.183642910092763,0,37,3.09147915694474,5.20286544427218
rho_g,0.98,invest,eps_g,-0.033885922647281,-0.033885922647281,0,22,-0.502930610848318,-0.76609512476673
rho_g,0.98,w,eps_g,-0.0606021603306139,-0.0606021603306139,0,NaN,-1.05788695752501,-1.82524387267393
rho_g,0.98,g,eps_g,1,1,0,35,16.6196014122452,27.7149798024523
