Parameter,ParameterValue,Variable,Shock,ImpactPercent,PeakPercent,PeakQuarter,HalfLifeAfterPeak,CumulativeResponse20Q,CumulativeResponse40Q
rho_z,0.5,y,eps_z,1.41957236150227,1.41957236150227,0,2,3.33807850085268,3.59488495128299
rho_z,0.5,c,eps_z,0.083558775523862,0.0967162677199873,2,19,1.51510398971343,2.20891591415779
rho_z,0.5,n,eps_z,0.626227405227286,0.626227405227286,0,1,0.153935260712923,-0.411473438516308
rho_z,0.5,k,eps_z,0.144196322044188,0.246579924038093,3,19,3.88047891993972,5.72933430508211
rho_z,0.5,invest,eps_z,5.76785288176811,5.76785288176811,0,1,9.27125510842656,8.10575387437831
rho_z,0.5,w,eps_z,0.793344956274999,0.793344956274999,0,2,3.18414324013977,4.00635838979928
rho_z,0.7,y,eps_z,1.38646933912392,1.38646933912392,0,3,5.36865742459626,5.80707402058568
rho_z,0.7,c,eps_z,0.116414760421785,0.144403567122464,4,20,2.41613843725435,3.59097158560491
rho_z,0.7,n,eps_z,0.57681990914018,0.57681990914018,0,2,0.268190275043767,-0.687434575312107
rho_z,0.7,k,eps_z,0.13800187990709,0.354942289989202,6,20,5.86487418596708,8.99508734891472
rho_z,0.7,invest,eps_z,5.52007519628332,5.52007519628332,0,2,14.978126170359,13.0197514589544
rho_z,0.7,w,eps_z,0.809649429983739,0.809649429983739,0,3,5.10046714955248,6.49450859589773
rho_z,0.9,y,eps_z,1.26644086346368,1.26644086346368,0,8,12.4499088782008,15.1081418035166
rho_z,0.9,c,eps_z,0.235547501189032,0.303090182995019,8,28,5.64941438641691,9.42867939927121
rho_z,0.9,n,eps_z,0.397672930542803,0.397672930542803,0,4,0.575540052683476,-1.87460849751293
rho_z,0.9,k,eps_z,0.115541409718434,0.646704367682016,14,NaN,10.5556784655281,20.0796404253686
rho_z,0.9,invest,eps_z,4.62165638873653,4.62165638873653,0,6,34.5832599437468,33.5929057289348
rho_z,0.9,w,eps_z,0.868767932920878,0.868767932920878,0,17,11.8743688255173,16.9827503010295
rho_z,0.98,y,eps_z,1.03256606860843,1.03256606860843,0,NaN,18.4373211360773,32.248716242864
rho_z,0.98,c,eps_z,0.467676961754321,0.603732440785881,19,NaN,11.2213085728582,22.7720575194482
rho_z,0.98,n,eps_z,0.0486060725498838,-0.24270939986879,36,NaN,-2.00264800481953,-6.64769939801619
rho_z,0.98,k,eps_z,0.0717773126670096,0.90820425690592,33,NaN,10.3829444408524,28.1318558462583
rho_z,0.98,invest,eps_z,2.87109250667996,2.87109250667996,0,20,41.9230455268669,63.0920931042296
rho_z,0.98,w,eps_z,0.983959996058537,1.03706146317979,10,NaN,20.4399691408969,38.8964156408803
