Variable,HPFilteredStdDevPercent,Autocorrelation1,Autocorrelation2,Autocorrelation3,Autocorrelation4,Autocorrelation5
y,1.69737887908107,0.669193075109969,0.412968030171424,0.214214733369296,0.06186553650364,-0.0520874538111569
c,0.350993235293814,0.793187012056459,0.5949701654869,0.411841810578642,0.247999548986856,0.105838231236559
n,0.911110221207007,0.484268527947104,0.197736473643089,0.0344959074930778,-0.0598058050344562,-0.113645854952929
k,0.506938561198157,0.951227265156959,0.838561432115619,0.687502434634982,0.517464596206828,0.343078038234363
invest,6.27398543773432,0.656942271447985,0.396497539597076,0.197782267018385,0.0476687512188894,-0.0630119597796344
w,1.15896670290357,0.698431056960684,0.454080772469297,0.25712445737257,0.100752473572279,-0.0204310922636161
z,1.28334603302781,0.691910551357677,0.43803401662481,0.233479638284286,0.0729990228037582,-0.048779951533691
phi_t,1.0327806599452,0.378269520311407,0.074983295575134,-0.0672547911274333,-0.127833937322643,-0.14701882788624
