GovernmentPersistence,ImpactMultiplier,CumulativeMultiplier20Q
0,0.0411233145458755,-0.0936248028155405
0.5,0.0784945088729351,-0.0430863630581222
0.9,0.287533505234197,0.23005639833722
0.98,0.615203748810763,0.611805346282682
