Row,ProductivityShockPercent,LabourShockPercent
y,91.6988210609352,8.30117893906483
c,98.4824308998393,1.51756910016068
n,34.2644235450116,65.7355764549884
k,95.8264351587173,4.17356484128273
invest,89.7677241829654,10.2322758170346
w,95.2336457279291,4.76635427207095
z,100,1.26101081599525e-32
phi_t,0,100
